Country,Country,3TC | Actual,3TC | Computed,3TC | Diff (Comp-Act),ABC | Actual,ABC | Computed,ABC | Diff (Comp-Act),AZT | Actual,AZT | Computed,AZT | Diff (Comp-Act),ddl | Actual,ddl | Computed,ddl | Diff (Comp-Act),d4T | Actual,d4T | Computed,d4T | Diff (Comp-Act),EFV | Actual,EFV | Computed,EFV | Diff (Comp-Act),FTC | Actual,FTC | Computed,FTC | Diff (Comp-Act),LPV/r | Actual,LPV/r | Computed,LPV/r | Diff (Comp-Act),NVP | Actual,NVP | Computed,NVP | Diff (Comp-Act),TDF | Actual,TDF | Computed,TDF | Diff (Comp-Act),ATV/r | Actual,ATV/r | Computed,ATV/r | Diff (Comp-Act),Overall | Actual,Overall | Computed,Overall | Diff (Comp-Act)
Afghanistan,Albania,35.66780209,35.742464789285144,0.0746626992851418,3.483114137,3.483424740325046,0.00031060332504617705,15.83156254,15.859607825914166,0.028045285914165774,0.1026422272,0.10264222719528339,-4.716615986666284e-12,0.5238357521,0.5238357521197289,1.9728885192193957e-11,21.36337968,21.42065458175489,0.05727490175488725,7.057697955,7.07873778317034,0.021039828170340336,4.612259383,4.618749150100792,0.0064897671007919655,16.42590132,16.456618153235524,0.03071683323552321,23.74915871,23.113527686494425,-0.6356310235055744,0.4126282835,0.4138493039980119,0.001221020498011871,129.2299821,128.81411199359334,-0.41587010640665767
Albania,Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,Antigua and Barbuda,186.1668323,189.85828978332148,3.6914574833214715,3.71423875,3.72574228408501,0.011503534085010259,70.80180194,72.08813870783382,1.2863367678338165,0.08826703707,0.08826703707307837,3.0783708915294028e-12,0.4559254035,0.45592540352179795,2.179795233203663e-11,140.0148999,143.00687062453696,2.9919707245369693,49.1322222,50.157410779700406,1.025188579700405,15.75486505,16.005256276520008,0.25039122652000856,77.09206589,78.52095336890075,1.428887478900748,164.9928191,164.127474797634,-0.8653443023659975,2.513475486,2.558872131252353,0.045396645252353096,710.7274131,720.5932011943796,9.865788094379582
American Samoa,Argentina,0.0,0.054960460687768366,0.054960460687768366,0.0,0.00021928793758632686,0.00021928793758632686,0.0,0.020440843554354854,0.020440843554354854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04252129385094447,0.04252129385094447,0.0,0.015477831449079833,0.015477831449079833,0.0,0.004610894755255576,0.004610894755255576,0.0,0.022443534331212357,0.022443534331212357,0.0,0.04987412194746695,0.04987412194746695,0.0,0.0008625691994358085,0.0008625691994358085,0.0,0.21141083771310454,0.21141083771310454
Andorra,Armenia,0.1769268888,0.17692688879003476,-9.965223091157327e-12,0.000705924442,0.0007059244420592482,5.924817927938086e-14,0.06580248435,0.06580248435073094,7.309430838375874e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.1368831362,0.1368831362443209,4.43209080547291e-11,0.04982572069,0.04982572069509053,5.090532162466133e-12,0.01484323918,0.014843239182804282,2.8042811128781153e-12,0.07224947995,0.07224947995309407,3.094066669540041e-12,0.1652872655,0.16055311612888176,-0.00473414937111824,0.002776754105,0.0027767541049060524,-9.394785296934494e-14,0.6853008932,0.6805667438919226,-0.004734149308077362
Angola,Azerbaijan,1085.331064,1072.832953675887,-12.498110324112986,84.82324472,84.77505297918029,-0.048191740819717666,466.4270296,461.8157832347388,-4.611246365261252,2.455044855,2.455044855470437,4.704370226704668e-10,12.55246681,12.552466809595435,-4.0456527017340704e-10,689.470875,679.7364975669507,-9.734377433049303,232.3995389,228.8819735977096,-3.5175653022904214,128.1310753,127.11241142225944,-1.0186638777405506,489.156981,484.08400408306636,-5.072976916933612,780.4091668,746.7128650743697,-33.69630172563029,13.0924953,12.902837616075455,-0.18965768392454407,3984.248983,3913.8618909153033,-70.38709208469663
Anguilla,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,Bahrain,0.8265182264,0.8265182264536824,5.368250288739773e-11,0.00329774305,0.003297743049975442,-2.4558046568534664e-14,0.307397892,0.30739789205447005,5.4470039589915586e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.639452871,0.6394528710349775,3.4977465368513094e-11,0.2327620555,0.23276205545870818,-4.1291831065493056e-11,0.06934054969,0.06934054969314644,3.1464414407267327e-12,0.3375151874,0.3375151874393646,3.936456716147063e-11,0.7721434454,0.7500277527173115,-0.022115692682688537,0.01297167374,0.012971673744902245,4.90224527638361e-12,3.201399644,3.1792839516465383,-0.022115692353461558
Argentina,Bangladesh,3783.17524,3835.5976567027737,52.42241670277372,122.2568016,122.43660338239222,0.179801782392218,1502.665107,1521.432508405307,18.767401405307055,3.136901173,3.1369011725742917,-4.257083574543685e-10,16.20302415,16.20302414512729,-4.872710235304112e-09,2719.586642,2761.342505029492,41.75586302949159,953.9801015,968.6532306068643,14.67312910686428,350.7388265,354.6033417567929,3.8645152567928562,1618.611918,1639.3783654280523,20.766447428052288,3192.017671,3153.3760456117507,-38.641625388249395,50.92785033,51.63657098118394,0.7087206511839383,14313.30008,14427.796753222308,114.49667322230744
Armenia,Barbados,5.906417992,6.067449855051748,0.16103186305174866,0.02398832805,0.024616392137667552,0.0006280640876675514,2.206146201,2.265725052779588,0.05957885177958788,0.0,0.0,0.0,0.0,0.0,0.0,4.553170884,4.678310828159978,0.12513994415997765,1.663949792,1.709285582755385,0.045335790755385075,0.5030584231,0.5163116549111172,0.01325323181111715,2.419804171,2.485307314887133,0.06550314388713296,5.511532289,5.497166236341412,-0.014366052658587591,0.09433430596,0.09680563984890651,0.00247133388890651,22.88240239,23.340978556872937,0.45857616687293756
Aruba,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,Bhutan,28.29496571,28.20148100590473,-0.0934847040952711,0.4196127554,0.4193224862957055,-0.0002902691042944716,10.59212153,10.559580119602321,-0.03254141039767866,0.009244046329,0.009244046328681128,-3.1887166518362875e-13,0.04771365792,0.04771365791644804,-3.551957339364975e-12,21.62148955,21.545670547414915,-0.07581900258508512,7.61552487,7.5895715711813105,-0.02595329881868924,2.326812355,2.3204913146427413,-0.006321040357258667,11.58183295,11.545680535183445,-0.036152414816555734,25.56709452,24.81764450916813,-0.7494500108318718,0.3883414316,0.3871958875018507,-0.0011455440981493203,108.4647534,107.44359568114028,-1.021157718859726
Austria,Bolivia (Plurinational State of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,Bosnia and Herzegovina,25.9344138,26.32935165397514,0.39493785397514003,0.4094426646,0.4109725369927335,0.0015298723927335,9.971884205,10.117762219128611,0.1458780141286109,0.00893784553,0.008937845529750119,-2.4988171254403113e-13,0.04608649812,0.046086498121620426,1.6204260155916472e-12,19.37491097,19.68223662633697,0.30732565633697106,7.00204341,7.1132118951889,0.11116848518889988,2.328492877,2.3608087717879798,0.032315894787979804,10.84517862,11.005623010495954,0.16044439049595383,23.23726794,22.922279236935495,-0.314988703064504,0.3955959245,0.40161631694164684,0.006020392441646871,99.55425475,100.3988866114348,0.8446318614348058
Bahamas,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,Bulgaria,38.03194226,38.0319422637266,3.726597697095713e-09,0.1517444737,0.1517444737007262,7.261968804073149e-13,14.14480469,14.144804686000493,-3.99950828011697e-09,0.0,0.0,0.0,0.0,0.0,0.0,29.42419646,29.424196458345527,-1.6544738912216417e-09,10.71046321,10.710463207054275,-2.9457254413500777e-09,3.190680735,3.190680735233121,2.3312107799711157e-10,15.53064132,15.530641322819172,2.8191706746838463e-09,35.52990605,34.5122603163016,-1.0176457336984015,0.5968869544,0.5968869543830523,-1.6947665493205477e-11,147.3112661,146.29362041756454,-1.0176456824354716
Bangladesh,Burundi,96.36547235,97.23262303106742,0.8671506810674146,5.811427933,5.8149269354343796,0.0034990024343795056,40.3528013,40.676237194580146,0.3234358945801432,0.1645177058,0.1645177057638126,-3.618738642074959e-11,0.8420048874,0.8420048873704442,-2.9555802250058605e-11,63.99663366,64.66595697672322,0.6693233167232222,22.17149326,22.415785560583544,0.24429230058354534,10.71141323,10.784868737882917,0.0734555078829171,42.69378892,43.04869181446032,0.35490289446031653,74.03099208,72.64023706916603,-1.3907550108339706,1.277250834,1.291012102660642,0.01376126866064209,358.4177962,359.57686201569294,1.1590658156929408
Barbados,Cambodia,17.2586914,17.389547714114357,0.13085631411435728,0.06814839036,0.0686307279157016,0.0004823375557015952,6.402401315,6.450142141885731,0.04774082688573156,0.0,0.0,0.0,0.0,0.0,0.0,13.380694,13.483512422121407,0.10281842212140724,4.859011923,4.895782302560529,0.03677037956052942,1.435122309,1.445385209326145,0.010262900326144964,7.033786498,7.086432459686174,0.052645961686173415,16.13411664,15.79659021912553,-0.33752642087446816,0.2681005106,0.26999992554116464,0.0018994149411646344,66.84007299,66.88602312227674,0.045950132276743716
Belarus,Cameroon,131.7777158,133.98233091792318,2.2046151179231686,1.052728362,1.0614879603748577,0.008759598374857624,49.84185608,50.66116049316451,0.8193044131645095,0.01494154053,0.014941540526451299,-3.5487012634005666e-12,0.07716629599,0.07716629599079204,7.920469835553945e-13,100.3103669,102.01729576623585,1.7069288662358417,36.60652843,37.22745144941607,0.6209230194160753,11.51594422,11.700270288969133,0.18432606896913306,54.4774398,55.377264529671436,0.8998247296714368,121.2299825,119.66324517494849,-1.5667373250515197,2.093400962,2.127859428611443,0.03445846661144314,508.9980709,513.9104738458323,4.912402945832241
Belgium,Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,Chile,14.64897557,14.631712709900413,-0.017262860099586774,0.6940941926,0.6940312432052693,-6.294939473072692e-05,6.037697249,6.031416479282523,-0.0062807697174767085,0.01871563721,0.01871563720877538,-1.224621098971923e-12,0.09646223021,0.09646223020534547,-4.654526764014122e-12,10.04816758,10.034575424711964,-0.013592155288035812,3.492806463,3.487957950514685,-0.004848512485315037,1.482417749,1.48107628129753,-0.0013414677024699007,6.43567381,6.428743983909126,-0.006929826090874336,11.68234496,11.339676449001123,-0.34266851099887674,0.1916908475,0.19144292072934144,-0.00024792677065857416,54.82904629,54.435811309966105,-0.39323498003389545
